,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,comp_name,region,country,season_start_year,squad,player_num,player_name_x,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url,matched_player_name,minutes_played,player_name_y,headed_xg,regular_shots_xg,xg_total,xg_p90,total_goals,goals_p90,difference,total_shots,shots_p90,total_take_ons,take_ons_p90,total_carries,carries_p90,total_crosses_attempted,crosses_attempted_p90,total_assists,assists_p90,total_key_passes,key_passes_p90,total_xA,xA_p90
0,5,4613,4614,Premier League,Europe,England,2016,Chelsea FC,16,Kenedy,Left Winger,1996-02-08,20.0,Brazil,US Sassuolo,1.82,left,2015-08-22,FC Porto,0,7000000.0,https://www.transfermarkt.com/kenedy/profil/spieler/281404,Robert Kenedy Nunes do Nascimento,544,Robert Kenedy Nunes do Nascimento,0.0,0.428224582,0.428224582,0.07084597863970589,1.0,0.16544117647058823,0.571775418,13.0,2.1507352941176467,34.0,5.625,302.0,49.96323529411765,10.0,1.6544117647058825,0.0,0.0,5.0,0.8272058823529412,0.120875554,0.019997793860294117
1,10,4696,4697,Premier League,Europe,England,2016,Arsenal FC,17,Alex Iwobi,Left Winger,1996-05-03,20.0,Nigeria,Montpellier HSC,1.83,right,2015-07-01,Deportivo Saprissa,2022-06-30,10000000.0,https://www.transfermarkt.com/alex-iwobi/profil/spieler/242631,Alex Iwobi,639,Alex Iwobi,0.23096606,1.492578948,1.723545008,0.24275281802816903,2.0,0.28169014084507044,0.2764549919999999,15.0,2.112676056338028,19.0,2.676056338028169,389.0,54.7887323943662,8.0,1.1267605633802817,2.0,0.28169014084507044,10.0,1.4084507042253522,0.555947877,0.07830251788732395
2,24,4894,4895,Premier League,Europe,England,2016,Crystal Palace,31,Jeffrey Schlupp,Left Midfield,1992-12-23,23.0,Ghana,Without Club,1.78,left,2017-01-13,Wolverhampton Wanderers,2021-06-30,8000000.0,https://www.transfermarkt.com/jeffrey-schlupp/profil/spieler/157506,Jeffrey Schlupp,1383,Jeffrey Schlupp,0.059195656,2.077114942,2.136310598,0.13902238164859002,1.0,0.0650759219088937,-1.1363105980000001,25.0,1.6268980477223427,49.0,3.1887201735357915,504.0,32.79826464208243,34.0,2.212581344902386,2.0,0.1301518438177874,15.0,0.9761388286334056,0.8135665089999999,0.05294359060737527
3,45,5084,5085,Premier League,Europe,England,2016,Swansea City,17,Modou Barrow,Left Winger,1992-10-13,23.0,The Gambia,Manchester United,1.76,left,2014-09-01,Newcastle United,0,3000000.0,https://www.transfermarkt.com/modou-barrow/profil/spieler/189070,Modou Barrow,762,Modou Barrow,0.0,0.6395988,0.6395988,0.07554316535433071,1.0,0.11811023622047244,0.3604012,12.0,1.4173228346456692,51.0,6.023622047244095,316.0,37.322834645669296,25.0,2.952755905511811,3.0,0.3543307086614173,12.0,1.4173228346456692,0.49215189,0.05812817598425197
4,55,5232,5233,Premier League,Europe,England,2016,Sunderland AFC,9,Fabio Borini,Left Winger,1991-03-29,25.0,Italy,Sunderland AFC,1.8,right,2015-08-31,Sunderland AFC U23,0,5000000.0,https://www.transfermarkt.com/fabio-borini/profil/spieler/96754,Fabio Borini,1913,Fabio Borini,0.13362290999999998,3.9048805,4.03850341,0.1899975467328803,5.0,0.23523261892315733,0.9614965900000003,49.0,2.305279665446942,40.0,1.8818609513852587,559.0,26.299006795608992,26.0,1.2232096184004182,2.0,0.09409304756926293,15.0,0.7056978567694719,1.007174089,0.047384039733403036
5,62,5307,5308,Premier League,Europe,England,2016,Burnley FC,12,Robbie Brady,Left Midfield,1992-01-14,24.0,Ireland,Burnley FC,1.76,left,2017-01-31,Norwich City,2021-06-30,10000000.0,https://www.transfermarkt.com/robbie-brady/profil/spieler/128229,Robert Brady,2996,Robert Brady,0.27123948999999997,2.3047100521,2.5759495421,0.07738166181208278,3.0,0.09012016021361817,0.42405045789999996,54.0,1.622162883845127,79.0,2.3731642189586117,1129.0,33.91522029372497,114.0,3.4245660881174897,2.0,0.06008010680907877,51.0,1.5320427236315086,2.916029264,0.08759767481975968
6,67,12335,12336,Ligue 1,Europe,France,2016,Paris Saint-Germain,-,Jesé,Left Winger,1993-02-26,23.0,Spain,Paris Saint-Germain,1.78,right,2016-08-08,FC Paris Saint-Germain B,2021-06-30,7500000.0,https://www.transfermarkt.com/jese/profil/spieler/134936,Jesé Rodríguez Ruiz,819,Jesé Rodríguez Ruiz,0.0,3.1827483645,3.1827483645,0.3497525675274725,5.0,0.5494505494505495,1.8172516355,21.0,2.3076923076923075,33.0,3.626373626373627,407.0,44.72527472527473,41.0,4.5054945054945055,6.0,0.6593406593406593,20.0,2.197802197802198,1.624366576,0.17850182153846153
7,82,12527,12528,Ligue 1,Europe,France,2016,FC Girondins Bordeaux,10,Thomas Touré,Left Winger,1993-12-27,22.0,Cote d'Ivoire,Pyramids FC,1.75,right,2014-07-01,Sport Club Corinthians Paulista,0,1500000.0,https://www.transfermarkt.com/thomas-toure/profil/spieler/187392,Thomas Touré,829,Thomas Touré,0.25839069000000003,1.6239928365,1.8823835265,0.2043600933474065,2.0,0.21712907117008443,0.11761647350000004,29.0,3.1483715319662244,53.0,5.753920386007238,423.0,45.92279855247286,25.0,2.7141133896260556,1.0,0.10856453558504221,14.0,1.519903498190591,1.822208851,0.19782725764776843
8,83,12568,12569,Ligue 1,Europe,France,2016,LOSC Lille,-,Ricardo Kishna,Left Winger,1995-01-04,21.0,Netherlands,Stade Rennais FC,1.87,left,2017-01-31,Ajax Amsterdam,0,3000000.0,https://www.transfermarkt.com/ricardo-kishna/profil/spieler/159026,Ricardo Kishna,564,Ricardo Kishna,0.058564097,0.640011248,0.698575345,0.11147478909574467,2.0,0.3191489361702128,1.301424655,9.0,1.4361702127659572,17.0,2.712765957446808,224.0,35.74468085106383,26.0,4.148936170212766,0.0,0.0,11.0,1.7553191489361701,0.38512986699999996,0.06145689367021276
9,84,12569,12570,Ligue 1,Europe,France,2016,LOSC Lille,-,Lenny Nangis,Left Winger,1994-03-24,22.0,Guadeloupe,OGC Nice,1.72,right,2015-08-31,OGC Nice,0,1750000.0,https://www.transfermarkt.com/lenny-nangis/profil/spieler/157500,Lenny Nangis,503,Lenny Nangis,0.0332187,0.3314344333,0.3646531333,0.0652460874691849,0.0,0.0,0.0,10.0,1.7892644135188867,19.0,3.3996023856858844,166.0,29.70178926441352,12.0,2.147117296222664,2.0,0.3578528827037773,2.0,0.3578528827037773,0.204866,0.03665594433399603
